PLAYER,TEAM,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,STARTER,HOME,GP
John Collins,ATL,242.47625,52,90,6,20,11,15,22,58,80,24,8,7,11,25,121,16,8,3,8
John Konchar,MEM,97.38890625,6,13,1,6,0,2,6,12,18,7,4,3,3,11,13,-10,0,4,8
Jonas Valančiūnas,NOP,303.820625,64,130,8,15,37,41,36,91,127,23,7,10,19,28,173,-20,9,4,9
Jonathan Kuminga,GSW,7.916015625,1,5,1,4,0,0,0,0,0,0,1,0,2,2,3,-4,0,2,2
Jordan Clarkson,UTA,175.42624999999998,37,110,13,65,14,16,5,17,22,10,7,1,12,10,101,35,0,3,7
Jordan McLaughlin,MIN,82.59059375,6,16,2,8,4,6,1,6,7,14,6,0,4,5,18,-27,0,6,7
Jordan Nwora,MIL,182.581875,28,75,12,38,7,9,3,30,33,13,1,5,7,10,75,3,0,4,8
Jordan Poole,GSW,199.101875,46,107,16,53,7,8,2,17,19,25,11,3,19,18,115,34,7,4,7
Jose Alvarado,NOP,1.0498046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9
Josh Christopher,HOU,28.1359921875,5,14,1,4,2,2,1,3,4,3,3,0,4,1,13,16,0,3,7
Josh Giddey,OKC,203.683125,33,75,6,19,7,11,6,34,40,41,10,5,14,15,79,-69,7,3,7
Josh Green,DAL,34.20784375,1,7,0,2,0,0,4,6,10,2,0,1,2,2,2,15,0,4,8
Josh Hart,NOP,124.664,21,38,5,14,5,8,6,21,27,11,1,2,4,12,52,-23,4,3,5
Josh Jackson,DET,155.62875,24,56,8,27,7,14,6,24,30,16,3,4,11,15,63,-34,2,3,7
Josh Okogie,MIN,93.444125,7,21,2,8,6,11,6,12,18,6,7,2,3,7,22,39,4,6,7
Josh Richardson,BOS,149.519375,18,42,7,21,4,5,6,12,18,7,4,3,6,13,47,-35,0,3,7
Joshua Primo,SAS,5.7,2,2,1,1,0,0,1,0,1,0,0,0,0,0,5,3,0,4,5
Jrue Holiday,MIL,43.14,11,16,5,8,1,2,2,3,5,6,1,0,5,3,28,23,2,1,4
Juan Hernangómez,BOS,11.331999999999999,2,6,1,3,1,2,2,3,5,0,2,0,3,1,6,-23,0,3,8
Juan Toscano-Anderson,GSW,88.09875,7,18,4,10,3,4,3,9,12,12,3,2,4,7,21,6,0,4,7
Julius Randle,NYK,297.55,56,135,15,42,38,46,18,72,90,47,6,8,26,22,165,10,8,4,8
Justin Champagnie,TOR,15.134796875,0,2,0,0,2,2,3,3,6,1,0,0,0,3,2,16,0,5,8
Justin Holiday,IND,262.208125,28,77,19,61,2,2,1,24,25,15,7,3,13,18,77,17,6,5,9
Justin Robinson,MIL,136.51825,15,35,8,23,2,2,2,8,10,11,7,0,8,10,40,-20,0,4,8
Justise Winslow,LAC,68.5719375,9,26,0,5,1,2,4,8,12,7,3,4,8,9,19,-19,0,4,7
Jusuf Nurkić,POR,205.164375,35,66,1,7,19,29,27,66,93,15,11,6,18,17,90,36,8,4,8
KZ Okpala,MIA,15.718375,1,2,1,1,0,0,0,3,3,0,0,0,0,1,3,2,0,3,6
Kai Jones,CHO,1.95,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-5,0,4,9
Karl-Anthony Towns,MIN,243.15625,58,116,22,46,29,34,25,41,66,28,12,10,28,23,167,-5,7,6,7
Keita Bates-Diop,SAS,102.58209375,12,24,1,6,2,2,3,20,23,1,4,3,5,5,27,47,0,4,8
Kelan Martin,IND,18.46484375,4,7,3,4,0,1,0,0,0,3,1,0,1,1,11,-16,0,2,2
Keldon Johnson,SAS,230.46437500000002,49,114,3,21,19,30,9,34,43,16,9,1,12,18,120,-51,8,4,8
Kelly Olynyk,DET,161.59625,31,66,7,25,18,27,7,25,32,20,10,5,11,15,87,-12,1,3,7
Kelly Oubre,CHO,257.7684375,41,104,21,59,13,20,14,27,41,13,8,1,5,24,116,-11,5,4,9
Kemba Walker,NYK,222.75437499999998,38,83,25,49,8,11,1,25,26,26,11,3,12,10,109,-32,8,4,8
Kendrick Nunn,LAL,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Kenrich Williams,OKC,145.075625,16,41,6,16,3,6,6,16,22,9,2,2,8,13,41,-31,0,3,7
Kent Bazemore,LAL,223.071875,21,50,12,29,5,8,1,17,18,10,12,2,5,28,59,4,8,6,8
Kentavious Caldwell-Pope,WAS,253.16125,29,66,14,38,4,5,4,28,32,13,7,3,8,17,76,-10,8,4,8
Kenyon Martin,HOU,80.353125,17,24,2,5,2,4,3,14,17,6,2,0,3,5,38,18,0,3,7
Keon Johnson,LAC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Kessler Edwards,BRK,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kevin Durant,BRK,275.81937500000004,87,147,13,35,39,50,4,65,69,42,7,7,25,12,226,8,8,6,8
Kevin Huerter,ATL,145.4525,19,51,5,22,2,2,2,17,19,16,3,2,8,8,45,16,1,2,7
Kevin Knox,NYK,4.465,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-7,0,4,8
Kevin Love,CLE,144.986875,22,62,5,24,20,22,10,41,51,16,2,1,6,6,69,8,0,2,7
Kevin Pangos,CLE,7.884,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,-11,0,3,6
Kevin Porter,HOU,218.024375,32,80,14,42,8,14,8,22,30,38,12,3,37,22,86,-39,7,3,7
Kevon Looney,GSW,110.1915625,18,28,0,0,8,14,13,27,40,5,3,6,6,15,44,13,7,4,7
Khem Birch,TOR,207.9325,21,41,0,4,17,21,28,23,51,13,8,1,8,15,59,46,0,5,9
Khris Middleton,MIL,188.80625,44,102,9,35,23,27,3,25,28,27,12,1,21,13,120,-17,6,4,7
Killian Hayes,DET,168.175,14,50,6,18,6,6,4,14,18,21,10,2,14,17,40,-87,7,3,7
Killian Tillie,MEM,11.433187499999999,0,4,0,3,0,0,3,1,4,0,2,1,1,0,0,5,0,4,8
Kira Lewis,NOP,126.3765,22,54,5,19,1,1,2,17,19,21,1,0,14,11,50,-59,0,4,9
Kristaps Porziņģis,DAL,77.53,13,43,4,17,8,11,5,13,18,2,2,6,5,6,38,-30,3,1,3
Kyle Anderson,MEM,178.244375,26,65,9,22,7,8,10,35,45,17,6,5,5,12,68,-59,0,4,8
Kyle Kuzma,WAS,275.945625,43,108,16,51,11,23,12,68,80,13,7,5,14,18,113,-18,8,4,8
Kyle Lowry,MIA,191.116875,22,55,13,35,7,7,3,22,25,45,6,2,14,14,64,82,6,3,7
LaMarcus Aldridge,BRK,138.18125,38,58,2,7,8,13,11,23,34,4,2,9,7,15,86,45,0,5,7
LaMelo Ball,CHO,272.218125,66,156,26,65,17,18,12,42,54,57,17,4,23,32,175,24,9,4,9
Lamar Stevens,CLE,51.027812499999996,3,17,1,4,0,0,6,4,10,1,2,0,1,6,7,18,0,3,9
Landry Shamet,PHO,99.932875,9,24,6,17,2,4,2,11,13,5,0,0,3,9,26,-23,0,4,6
Larry Nance,POR,145.43,18,33,4,11,1,2,9,33,42,8,6,3,9,14,41,19,0,4,8
Lauri Markkanen,CLE,245.8175,35,97,14,50,19,22,10,37,47,12,10,8,7,10,103,-16,8,2,8
LeBron James,LAL,222.3,57,122,17,49,18,23,3,30,33,42,14,5,25,14,149,15,6,6,8
Leandro Bolmaro,MIN,5.8349921875,0,1,0,0,2,2,1,0,1,0,0,0,1,0,2,-10,0,6,7
Lonnie Walker,SAS,197.96875,34,83,16,47,10,12,1,26,27,26,7,3,13,9,94,30,3,4,8
Lonzo Ball,CHI,276.15375,36,86,22,54,5,6,7,38,45,36,16,9,24,17,99,62,8,4,8
Lou Williams,ATL,59.602031249999996,9,27,2,9,7,7,1,8,9,7,3,1,1,3,27,-1,0,3,7
Louis King,SAC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Luguentz Dort,OKC,191.2925,23,65,7,31,17,20,5,17,22,13,7,2,12,13,70,-65,6,3,7
Luka Dončić,DAL,276.263125,73,173,16,63,29,42,4,62,66,57,8,4,33,17,191,-84,8,4,8
Luka Garza,DET,39.38596875,5,12,2,6,4,5,3,3,6,1,4,1,2,10,16,-29,0,3,7
Luke Kennard,LAC,194.07875,28,65,20,45,5,5,1,22,23,15,4,1,2,9,81,36,0,4,7
Malachi Flynn,TOR,21.263703125,1,5,1,2,0,0,0,3,3,4,1,0,0,2,3,17,0,5,9
Malcolm Brogdon,IND,221.25875000000002,48,107,8,32,30,31,8,35,43,42,3,5,20,13,134,11,6,3,6
Malik Beasley,MIN,171.4425,25,69,17,48,2,4,5,13,18,14,7,2,4,4,69,-27,0,6,7
Malik Fitts,UTA,4.916984375,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-3,0,2,4
Malik Monk,LAL,164.719375,18,49,10,31,6,8,3,10,13,14,6,0,6,7,52,-1,2,6,8
Marcos Louzada Silva,NOP,1.0498046875,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,9
Marcus Garrett,MIA,6.966000000000002,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,2,3
Marcus Morris,LAC,54.83,7,18,3,11,2,2,0,1,1,1,2,1,1,8,19,-30,2,1,2
Marcus Smart,BOS,250.9075,20,66,13,45,8,12,0,25,25,28,18,3,14,19,61,28,7,3,7
Markieff Morris,MIA,127.5871875,23,50,5,15,3,3,8,10,18,10,3,1,7,19,54,22,0,3,7
Marko Simonovic,CHI,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
Markus Howard,DEN,9.28278125,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,5,0,3,8
Marvin Bagley,SAC,10.45,1,2,0,0,0,0,0,4,4,0,0,0,1,1,2,3,0,3,8
Mason Plumlee,CHO,243.26187499999997,26,50,0,0,8,26,26,47,73,22,8,11,12,20,60,-4,9,4,9
Matisse Thybulle,PHI,194.2553125,17,33,5,15,2,2,4,15,19,11,20,12,7,14,41,29,1,5,8
Matt Thomas,CHI,2.434,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,4,8
Maurice Harkless,SAC,172.25187499999998,13,32,5,20,3,3,1,25,26,4,3,6,4,13,34,-1,7,3,8
Max Strus,MIA,103.608125,13,32,9,24,1,3,1,15,16,5,2,1,2,6,36,45,0,3,6
Maxi Kleber,DAL,112.91390625,14,28,11,23,4,4,6,26,32,3,3,7,4,12,43,18,1,3,6
McKinley Wright,MIN,4.133,1,1,1,1,0,0,0,0,0,0,0,0,1,0,3,-6,0,1,1
Michael Porter,DEN,257.85249999999996,36,99,10,46,5,9,9,46,55,17,10,2,12,16,87,50,8,3,8
Mikal Bridges,PHO,199.93124999999998,41,72,11,25,5,8,3,20,23,9,4,4,8,15,98,29,6,4,6
Mike Conley,UTA,171.6175,34,70,19,39,11,12,0,12,12,20,8,1,14,9,98,37,6,3,6
Mike Muscala,OKC,85.454625,13,33,7,20,8,10,2,17,19,4,4,2,2,7,41,-28,0,2,6
Miles Bridges,CHO,321.5725,79,164,26,70,33,38,15,57,72,29,16,9,16,24,217,37,9,4,9
Miles McBride,NYK,2.7826377929687505,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,-7,0,4,8
Mitchell Robinson,NYK,236.20625,25,30,0,0,10,19,25,46,71,10,3,11,7,27,60,-16,8,4,8
Miye Oni,UTA,5.383,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-12,0,2,5
Mohamed Bamba,ORL,287.16125,38,77,14,35,15,22,24,59,83,19,7,18,19,29,105,-25,9,3,9
Monte Morris,DEN,229.685,37,81,9,29,3,6,4,14,18,32,4,1,13,13,86,61,8,3,8
Montrezl Harrell,WAS,249.675625,49,81,1,5,45,54,22,57,79,17,3,10,10,20,144,39,2,4,8
Moritz Wagner,ORL,104.6569375,15,39,10,28,6,12,3,22,25,5,0,1,7,17,46,-1,0,3,9
Moses Brown,DAL,14.949234375,2,2,0,0,2,6,1,4,5,0,0,2,0,2,6,-2,0,4,8
Moses Moody,GSW,32.647834375,3,11,1,6,1,2,0,6,6,3,0,1,0,2,8,0,0,4,7
Mychal Mulder,ORL,7.1015625,1,5,1,2,0,0,1,1,2,1,0,0,1,1,3,10,0,2,4
Myles Turner,IND,243.03975,46,83,18,44,21,32,14,59,73,10,5,26,15,22,131,15,9,5,9
Naji Marshall,NOP,129.071375,7,23,1,10,10,12,7,27,34,12,6,3,10,16,25,-28,0,4,9
Nassir Little,POR,175.9284375,21,42,8,19,7,9,16,26,42,5,5,5,9,14,57,-10,2,4,8
Nathan Knight,MIN,1.1669921875,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5,6
Naz Reid,MIN,99.9140625,22,46,5,21,10,14,6,11,17,5,6,7,6,17,59,-27,0,6,7
Nemanja Bjelica,GSW,106.3696875,17,34,4,9,5,7,8,28,36,13,5,2,6,7,43,34,0,4,7
Nerlens Noel,NYK,17.796875,1,2,0,0,0,0,3,3,6,2,0,1,0,2,2,2,0,0,1
Nick Richards,CHO,29.165609375,6,7,0,0,1,1,2,4,6,0,0,3,2,2,13,3,0,4,9
Nickeil Alexander-Walker,NOP,284.849375,49,138,18,69,9,11,13,34,47,24,12,6,13,15,125,-55,9,4,9
Nicolas Batum,LAC,164.924375,22,48,14,35,1,3,3,34,37,10,6,5,3,6,59,42,5,4,6
Nicolas Claxton,BRK,75.58,11,20,0,0,4,9,3,19,22,3,0,4,3,5,26,-22,3,2,4
Nikola Jokić,DEN,248.326875,79,132,15,37,28,34,21,86,107,45,12,7,29,22,201,77,8,3,8
Nikola Vučević,CHI,274.78,44,113,9,32,13,18,13,73,86,36,11,7,13,19,110,31,8,4,8
Norman Powell,POR,166.183375,36,70,13,31,16,18,1,16,17,8,4,3,4,8,101,17,6,3,6
OG Anunoby,TOR,331.65625,68,166,27,73,20,23,17,33,50,23,16,6,15,27,183,39,9,5,9
Obi Toppin,NYK,122.65375,23,38,2,13,9,18,5,16,21,7,4,7,4,13,57,26,0,4,8
Omer Yurtseven,MIA,15.9498203125,6,9,0,0,0,1,2,5,7,0,0,0,1,0,12,1,0,3,7
Oshae Brissett,IND,98.37059375000001,13,30,4,14,1,3,3,15,18,3,2,1,7,9,31,-46,0,5,9
Otto Porter,GSW,119.7156875,15,31,7,17,3,4,4,24,28,9,5,4,5,11,40,24,0,4,7
P.J. Tucker,MIA,189.545625,13,33,7,21,3,5,8,26,34,10,3,0,2,17,36,83,7,3,7
P.J. Washington,CHO,147.753125,25,53,8,22,11,14,11,21,32,10,5,7,9,8,69,-18,0,3,8
PJ Dozier,DEN,142.3790625,14,36,6,19,1,3,3,16,19,11,6,3,4,11,35,-41,0,3,8
Pat Connaughton,MIL,239.243125,34,69,17,45,3,4,9,32,41,14,7,2,5,13,88,-14,5,4,8
Patrick Beverley,MIN,117.655,15,29,8,19,3,4,8,16,24,28,4,5,7,15,41,-1,1,6,7
Patrick Williams,CHI,124.640625,13,23,3,6,4,4,1,10,11,3,3,2,2,9,33,12,5,3,5
Patty Mills,BRK,207.13375000000002,32,70,22,42,2,3,3,16,19,24,4,2,4,13,88,37,0,6,8
Paul George,LAC,241.9125,76,150,27,64,23,27,2,52,54,33,21,4,29,20,202,6,7,4,7
Paul Millsap,BRK,80.25093749999999,9,22,3,12,8,11,3,22,25,8,2,2,3,13,29,5,0,5,7
Paul Reed,PHI,29.260859375,4,8,0,0,0,0,3,3,6,4,1,3,0,6,8,1,0,5,8
Paul Watson,OKC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Payton Pritchard,BOS,92.07021875,6,22,5,16,0,0,5,13,18,12,0,2,4,11,17,-36,0,3,8
Petr Cornelie,DEN,2.7319999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5
Precious Achiuwa,TOR,213.87687499999998,30,87,2,11,10,18,19,60,79,14,4,3,12,20,72,3,9,5,9
Quentin Grimes,NYK,4.566,1,2,1,2,0,0,0,0,0,0,0,0,0,0,3,-7,0,4,8
R.J. Hampton,ORL,157.12603125,22,58,9,22,9,13,2,25,27,14,2,1,15,14,62,-73,0,3,9
RJ Barrett,NYK,279.08125,55,112,20,48,23,32,4,41,45,21,4,3,16,23,153,0,8,4,8
RJ Nembhard,CLE,1.8659999999999999,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,2,3
Rajon Rondo,LAL,69.61,10,25,4,9,0,0,1,6,7,17,4,0,9,6,24,-10,0,6,8
Raul Neto,WAS,151.750625,24,49,3,15,7,7,0,18,18,23,10,1,7,13,58,-8,0,4,7
Reggie Bullock,DAL,155.8815625,17,47,12,37,3,5,1,17,18,5,0,0,2,10,49,-44,2,4,8
Reggie Jackson,LAC,245.47,42,118,23,64,7,9,6,21,27,29,5,0,10,12,114,15,7,4,7
Richaun Holmes,SAC,215.29874999999998,51,75,2,3,16,17,21,58,79,14,4,10,9,31,120,22,8,3,8
Ricky Rubio,CLE,253.456875,36,104,15,46,16,19,4,29,33,61,12,2,26,20,103,38,2,3,9
Robert Covington,POR,219.7025,13,35,12,32,0,0,3,39,42,4,9,7,6,16,38,4,8,4,8
Robert Williams,BOS,221.69562499999998,30,43,0,0,10,15,24,33,57,10,7,17,6,13,70,21,7,3,7
Robert Woodard,SAC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Robin Lopez,ORL,59.012375000000006,8,13,0,0,6,8,5,7,12,3,0,2,3,4,22,-48,0,3,9
Rodney Hood,MIL,69.16875,5,17,5,12,5,5,2,10,12,4,1,0,1,8,20,15,0,3,6
Rodney McGruder,DET,19.68359375,1,5,1,3,0,0,0,2,2,2,0,1,0,1,3,12,0,3,7
Romeo Langford,BOS,84.2765625,10,20,5,10,0,0,5,7,12,3,2,0,5,9,25,-55,0,2,5
Royce O'Neale,UTA,210.851875,15,36,6,24,0,0,8,22,30,12,11,5,6,17,36,71,7,3,7
Rudy Gobert,UTA,218.74812500000002,34,47,0,0,42,59,26,97,123,7,5,14,16,20,110,30,7,3,7
Rui Hachimura,WAS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Russell Westbrook,LAL,287.27250000000004,65,146,7,32,18,31,15,55,70,68,12,1,39,28,155,-15,8,6,8
Saben Lee,DET,27.0318125,2,8,0,3,2,4,0,3,3,3,2,0,2,1,6,6,0,3,7
Saddiq Bey,DET,226.81125,39,99,12,42,9,14,17,38,55,20,5,3,9,9,99,-67,7,3,7
Sam Dekker,TOR,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,5,9
Sam Hauser,BOS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sam Merrill,MEM,28.25,3,12,3,12,0,0,0,0,0,3,0,0,2,1,9,-1,0,4,8
Sandro Mamukelashvili,MIL,61.093828124999995,7,15,3,6,2,3,3,6,9,2,0,0,2,4,19,-22,0,4,8
Santi Aldama,MEM,11.433187499999999,3,8,1,4,2,3,2,1,3,0,0,0,0,2,9,5,0,4,8
Scottie Barnes,TOR,244.21,54,98,2,9,17,24,21,41,62,14,5,4,17,19,127,9,7,5,7
Sekou Doumbouya,LAL,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Semi Ojeleye,MIL,45.4546875,1,13,0,11,2,4,2,7,9,0,1,0,2,5,4,-14,0,2,3
Seth Curry,PHI,256.43,52,85,22,41,11,13,2,25,27,15,4,2,10,10,137,59,8,5,8
Shai Gilgeous-Alexander,OKC,239.77249999999998,57,127,17,47,29,37,5,31,36,25,5,2,14,16,160,-72,7,3,7
Shake Milton,PHI,74.8125,17,34,4,14,3,3,2,7,9,12,2,1,5,10,41,3,0,4,5
Sharife Cooper,ATL,6.717,0,3,0,2,0,0,0,0,0,2,0,0,1,0,0,-6,0,3,5
Skylar Mays,ATL,11.931843749999999,3,4,1,2,3,3,0,1,1,0,0,0,0,1,10,-6,0,3,8
Solomon Hill,ATL,42.266,2,8,2,7,0,0,1,6,7,4,2,0,1,7,6,23,0,3,8
Spencer Dinwiddie,WAS,214.91375,43,100,14,37,25,26,5,29,34,41,3,1,12,15,125,-13,7,3,7
Stephen Curry,GSW,244.59,60,143,34,91,33,34,5,48,53,48,10,4,28,11,187,59,7,4,7
Sterling Brown,DAL,72.66931249999999,4,22,3,17,2,2,4,15,19,5,1,1,6,10,13,-1,0,3,6
Steven Adams,MEM,211.365,30,55,0,0,15,15,30,43,73,23,7,4,12,13,75,7,8,4,8
Svi Mykhailiuk,TOR,169.7681875,26,47,12,27,15,17,7,23,30,12,9,0,10,17,79,14,2,5,9
T.J. McConnell,IND,220.866875,30,64,3,11,0,2,2,21,23,50,8,3,12,19,63,-43,3,5,9
Tacko Fall,CLE,1.8659999999999999,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,3,0,3,4
Taj Gibson,NYK,81.0184375,10,18,0,3,3,3,10,10,20,4,1,5,3,14,23,19,0,3,6
Taurean Prince,MIN,96.0035,6,26,3,19,5,8,3,8,11,4,3,0,5,10,20,3,0,6,7
Terance Mann,LAC,208.581875,26,60,8,23,10,14,13,23,36,22,9,2,8,17,70,39,0,4,7
Terence Davis,SAC,68.38321875,7,33,2,19,0,0,1,7,8,6,3,0,3,12,16,-14,1,3,8
Terrence Ross,ORL,237.079375,31,72,13,39,17,20,2,14,16,15,4,2,8,12,92,-119,0,3,9
Terry Rozier,CHO,124.7475,16,49,9,29,7,8,2,14,16,11,4,1,12,5,48,0,4,2,6
Thaddeus Young,SAS,65.8355,11,23,0,2,0,0,8,10,18,12,5,2,6,7,22,0,0,2,6
Thanasis Antetokounmpo,MIL,152.54375,20,40,0,3,5,7,14,30,44,11,9,1,9,21,45,-12,4,4,8
Théo Maledon,OKC,116.83343749999999,7,28,3,17,3,4,3,12,15,11,2,0,11,8,20,-27,0,3,7
Tim Hardaway,DAL,249.28875,39,98,24,66,18,22,2,25,27,16,10,1,6,16,120,-27,8,4,8
Timothé Luwawu-Cabarrot,ATL,11.931843749999999,0,4,0,2,1,2,0,3,3,2,0,0,1,0,1,-6,0,3,8
Tobias Harris,PHI,198.333125,51,94,8,25,9,10,8,46,54,25,1,2,9,7,119,13,6,4,7
Tomáš Satoranský,NOP,44.8868125,3,11,1,2,1,1,0,2,2,4,1,0,5,3,8,-29,0,4,9
Tony Bradley,CHI,46.90665625,5,9,0,0,0,0,7,9,16,0,0,6,2,7,10,38,0,4,8
Tony Snell,POR,14.8125,2,3,2,3,0,0,0,1,1,0,0,0,0,1,6,-5,0,0,3
Torrey Craig,IND,159.00125,22,47,10,27,8,10,16,19,35,12,3,3,7,19,62,-12,0,5,9
Trae Young,ATL,275.84375,64,157,12,43,41,45,4,26,30,76,7,1,26,8,181,2,8,3,8
Tre Jones,SAS,47.09278125,9,17,0,1,3,3,0,5,5,7,1,0,1,2,21,4,0,4,8
Tre Mann,OKC,52.546,10,23,3,9,1,4,2,3,5,1,1,2,1,5,24,-25,0,3,5
Trent Forrest,UTA,16.9828125,2,2,0,0,0,0,0,3,3,2,0,0,1,2,4,3,0,2,6
Trey Burke,DAL,28.876875,5,12,2,5,4,4,0,2,2,4,1,0,3,0,16,1,0,2,6
Trey Lyles,DET,119.73125,20,45,8,23,18,22,8,23,31,11,3,2,9,6,66,-14,0,3,7
Trey Murphy,NOP,189.374375,16,47,13,34,4,5,4,20,24,9,3,1,8,16,49,-26,0,4,9
Tristan Thompson,SAC,69.1581875,11,18,0,0,3,5,7,12,19,3,0,1,2,8,25,-26,0,3,8
Troy Brown,CHI,68.002296875,9,22,4,11,1,2,2,7,9,2,1,0,1,7,23,0,0,4,8
Ty Jerome,OKC,54.221562500000005,4,19,3,14,2,2,0,4,4,6,5,0,2,4,13,25,0,3,7
Tyler Cook,CHI,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Tyler Herro,MIA,220.826875,60,127,20,49,17,20,7,36,43,31,1,0,17,8,157,82,0,3,7
Tyrese Haliburton,SAC,261.42875000000004,41,90,8,26,15,18,4,25,29,44,11,11,10,8,105,-16,8,3,8
Tyrese Maxey,PHI,257.62312499999996,43,87,6,19,20,24,3,21,24,34,4,4,15,20,112,50,8,5,8
Tyus Jones,MEM,133.1311875,23,42,11,21,0,0,1,18,19,29,6,0,1,4,57,-6,0,4,8
Udoka Azubuike,UTA,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
Udonis Haslem,MIA,4.5,1,3,0,1,0,0,1,1,2,0,0,0,0,1,2,-1,0,2,6
Usman Garuba,HOU,25.6029921875,2,6,0,3,0,0,3,5,8,4,1,4,2,3,4,17,0,3,7
Vernon Carey,CHO,0.7829999999999999,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,6
Vit Krejci,OKC,9.048,0,2,0,2,2,2,0,2,2,0,0,0,1,0,2,-1,0,3,5
Wayne Ellington,LAL,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Wayne Selden,NYK,0.9670000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,4,7
Wendell Carter,ORL,261.20375,45,88,12,31,14,20,23,69,92,21,6,7,17,26,116,-22,9,3,9
Will Barton,DEN,260.5625,49,103,15,41,9,13,5,28,33,33,11,6,16,7,122,38,8,3,8
Willie Cauley-Stein,DAL,91.0825,7,17,0,1,0,0,8,15,23,5,2,0,2,5,14,8,0,4,8
Willy Hernangómez,NOP,10.75,2,2,0,0,4,4,0,2,2,1,0,0,0,2,8,-11,0,4,9
Xavier Tillman,MEM,90.859375,11,22,1,7,3,5,8,14,22,6,10,1,5,5,26,-38,0,4,8
Zach LaVine,CHI,281.01875,71,150,18,52,46,49,4,40,44,35,4,3,21,13,206,19,8,4,8
Zeke Nnaji,DEN,9.966375,3,5,2,3,0,0,1,3,4,0,0,0,0,2,8,3,0,3,8
Ziaire Williams,MEM,146.5174375,15,48,10,34,2,2,4,9,13,5,5,4,6,12,42,-21,0,4,8
